id,material_class,sheet_title,table_heading,table_subheading,product_code,material,qty_basis,a1_a3_CO2,a1_a3_energy_total,a1_a3_energy_non_renewable,a1_a3_energy_renewable,notes,data_quality,density,area_density,linear_density,mass_per_unit
1,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,197,1354,1178,176,0,not_defined,2400,0,0,0
2,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,213,1428,1246,182,0,not_defined,2400,0,0,0
3,STRUCTURE,Concrete (in-situ),"25 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 25 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,242,1574,1378,196,0,not_defined,2400,0,0,0
4,STRUCTURE,Concrete (in-situ),"30 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 30 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,262,1713,1503,210,0,not_defined,2400,0,0,0
5,STRUCTURE,Concrete (in-situ),"35 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 35 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,286,1822,1602,220,0,not_defined,2400,0,0,0
6,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,313,1982,1746,236,0,not_defined,2400,0,0,0
7,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,343,2142,1891,251,0,not_defined,2400,0,0,0
8,STRUCTURE,Concrete (in-situ),"50 MPa in-situ, no reinforcement - Bridgeman Concrete",ts-anz,0,"Concrete, 50 MPa, in-situ, no reinforcement, (OPC) (Bridgeman Concrete) (Auckland)",m3,384,2336,2066,270,0,not_defined,2400,0,0,0
9,STRUCTURE,Concrete (in-situ),"20 MPa in-situ, no reinforcement - Stevenson Concrete",ts-anz,Group 02,"Concrete, 20 MPa, in-situ, no reinforcement, (OPC) (Stevenson Concrete) (Auckland)",m3,224,1524,1280,244,0,not_defined,2400,0,0,0
10,STRUCTURE,Concrete (in-situ),"25 MPa in-situ, no reinforcement - Stevenson Concrete",ts-anz,Group 03,"Concrete, 25 MPa, in-situ, no reinforcement, (OPC) (Stevenson Concrete) (Auckland)",m3,240,1612,1350,262,0,not_defined,2400,0,0,0
11,STRUCTURE,Concrete (in-situ),"30 MPa in-situ, no reinforcement - Stevenson Concrete",ts-anz,Group 04,"Concrete, 30 MPa, in-situ, no reinforcement, (OPC) (Stevenson Concrete) (Auckland)",m3,258,1817,1460,357,0,not_defined,2400,0,0,0
12,STRUCTURE,Concrete (in-situ),"40 MPa in-situ, no reinforcement - Stevenson Concrete",ts-anz,Group 07,"Concrete, 40 MPa, in-situ, no reinforcement, (OPC) (Stevenson Concrete) (Auckland)",m3,310,2066,1710,356,0,not_defined,2400,0,0,0
13,STRUCTURE,Concrete (in-situ),"45 MPa in-situ, no reinforcement - Stevenson Concrete",ts-anz,Group 09,"Concrete, 45 MPa, in-situ, no reinforcement, (OPC) (Stevenson Concrete) (Auckland)",m3,343,2133,1760,373,0,not_defined,2400,0,0,0
14,STRUCTURE,Concrete (in-situ),"50 MPa in-situ, no reinforcement - Stevenson Concrete",ts-anz,Group 11,"Concrete, 50 MPa, in-situ, no reinforcement, (OPC) (Stevenson Concrete) (Auckland)",m3,376,2641,2090,551,0,not_defined,2400,0,0,0
15,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_1_4_1_1_1,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Auckland)",kg,0.11,0.62,0.58,0.04,"ci1, ci10-",A,2340,0,0,0
16,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_1_4_1_1_2,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Wellington)",kg,0.11,0.47,0.44,0.03,"ci1, ci10-",A,2340,0,0,0
17,STRUCTURE,Concrete (in-situ),"17.5 MPa in-situ, no reinforcement - Allied Concrete",,PR_20_31_16_1_4_1_1_3,"Concrete, 17.5 MPa, in-situ, no reinforcement, (OPC) (Allied Concrete) (Christchurch)",kg,0.1,0.46,0.42,0.03,"ci1, ci10-",A,2340,0,0,0
